year,month,day,co2_concentration,ch4_concentration,co2e,decimal_year
1987,10,31,346.98,1.70154,389.5185,1987.8321917808219
1987,11,1,346.85,1.70632,389.50800000000004,1987.8333333333333
1987,11,4,346.89,1.69759,389.32975,1987.8415525114156
1987,11,5,346.94,1.71225,389.74625,1987.844292237443
1987,11,7,347.5,1.72751,390.68775,1987.8497716894976
1987,11,11,347.14,1.69224,389.44599999999997,1987.8607305936073
1987,11,12,347.21,1.6953699999999998,389.59425,1987.8634703196346
1987,11,13,347.16,1.7054,389.795,1987.866210045662
1987,11,14,347.18,1.6917,389.4725,1987.8689497716894
1987,11,15,347.32,1.68634,389.4785,1987.8716894977167
1987,11,16,347.88,1.72081,390.90024999999997,1987.8744292237443
1987,11,17,347.7,1.72257,390.76425,1987.8771689497717
1987,11,18,347.63,1.71224,390.436,1987.879908675799
1987,11,23,347.93,1.71186,390.7265,1987.893607305936
1987,11,24,348.58,1.72624,391.736,1987.8963470319634
1987,11,28,348.22,1.73181,391.51525000000004,1987.907305936073
1987,11,29,348.08,1.71776,391.024,1987.9100456621004
1987,12,2,348.63,1.7137,391.47249999999997,1987.919406392694
1987,12,8,348.09,1.7001700000000002,390.59425,1987.9358447488585
1987,12,9,348.19,1.69829,390.64725,1987.9385844748858
1987,12,11,348.93,1.69783,391.37575,1987.9440639269408
1987,12,12,348.84,1.7060899999999999,391.49224999999996,1987.9468036529681
1987,12,13,348.84,1.69863,391.30575,1987.9495433789955
1987,12,15,348.97,1.6814500000000001,391.00625,1987.9550228310502
1987,12,17,348.84,1.68615,390.99375,1987.9605022831051
1987,12,18,348.91,1.69386,391.2565,1987.9632420091325
1987,12,19,348.73,1.68469,390.84725000000003,1987.9659817351599
1987,12,21,348.72,1.67826,390.67650000000003,1987.9714611872148
1987,12,22,348.9,1.68933,391.13325,1987.9742009132422
1987,12,23,349.13,1.69621,391.53525,1987.9769406392695
1987,12,24,349.06,1.6889200000000002,391.283,1987.9796803652969
1987,12,25,348.95,1.6871600000000002,391.129,1987.9824200913242
1987,12,26,349.25,1.7020899999999999,391.80225,1987.9851598173516
1987,12,28,348.85,1.70093,391.37325000000004,1987.9906392694065
1988,1,1,349.53,1.7023,392.0875,1988.0
1988,1,2,349.79,1.70998,392.53950000000003,1988.0027397260274
1988,1,10,350.22,1.6997,392.71250000000003,1988.0246575342467
1988,1,11,350.01,1.69714,392.4385,1988.027397260274
1988,1,12,349.86,1.69493,392.23325,1988.0301369863014
1988,1,23,350.59,1.6901,392.8425,1988.0602739726028
1988,1,24,350.68,1.68878,392.8995,1988.0630136986301
1988,1,28,350.21,1.70215,392.76374999999996,1988.0739726027398
1988,1,29,350.71,1.70133,393.24325,1988.0767123287671
1988,1,30,350.68,1.70483,393.30075,1988.0794520547945
1988,1,31,350.74,1.7038,393.33500000000004,1988.0821917808219
1988,2,1,350.77,1.69947,393.25675,1988.0833333333333
1988,2,2,351.71,1.72806,394.9115,1988.0860730593606
1988,2,3,351.22,1.7198499999999999,394.21625,1988.088812785388
1988,2,10,351.11,1.70527,393.74175,1988.10799086758
1988,2,11,350.91,1.70835,393.61875000000003,1988.1107305936073
1988,2,12,351.02,1.6999900000000001,393.51975,1988.1134703196346
1988,2,13,350.87,1.70469,393.48725,1988.116210045662
1988,2,14,350.94,1.70228,393.497,1988.1189497716894
1988,2,15,351.45,1.7013,393.98249999999996,1988.1216894977167
1988,2,16,351.32,1.71479,394.18975,1988.1244292237443
1988,2,17,351.24,1.70374,393.8335,1988.1271689497717
1988,2,18,351.22,1.70648,393.882,1988.129908675799
1988,2,19,350.79,1.69586,393.1865,1988.1326484018264
1988,2,20,350.93,1.69478,393.2995,1988.1353881278537
1988,2,21,351.57,1.7058,394.215,1988.1381278538813
1988,2,22,351.63,1.6996300000000002,394.12075,1988.1408675799087
1988,2,23,351.85,1.7074500000000001,394.53625,1988.143607305936
1988,2,24,350.81,1.69706,393.2365,1988.1463470319634
1988,2,25,351.02,1.69479,393.38975,1988.1490867579907
1988,2,26,352.39,1.72591,395.53774999999996,1988.151826484018
1988,2,27,352.32,1.72896,395.544,1988.1545662100457
1988,2,28,351.93,1.7259600000000002,395.079,1988.157305936073
1988,3,1,353.4,1.73658,396.81449999999995,1988.1666666666667
1988,3,3,352.92,1.7242300000000002,396.02575,1988.1721461187215
1988,3,4,352.27,1.7199600000000002,395.269,1988.174885844749
1988,3,8,352.5,1.70808,395.202,1988.1858447488585
1988,3,9,352.43,1.71117,395.20925,1988.1885844748858
1988,3,10,352.21,1.70546,394.8465,1988.1913242009134
1988,3,11,351.76,1.70427,394.36674999999997,1988.1940639269408
1988,3,12,350.98,1.6888,393.20000000000005,1988.1968036529681
1988,3,13,350.89,1.68552,393.02799999999996,1988.1995433789955
1988,3,14,351.11,1.6866400000000001,393.276,1988.2022831050228
1988,3,15,351.92,1.71579,394.81475,1988.2050228310502
1988,3,16,351.04,1.68453,393.15325,1988.2077625570778
1988,3,20,350.94,1.68347,393.02675,1988.2187214611872
1988,3,25,351.96,1.6882000000000001,394.16499999999996,1988.2324200913242
1988,3,26,352.06,1.6966700000000001,394.47675,1988.2351598173516
1988,4,1,352.81,1.71696,395.734,1988.25
1988,4,2,352.99,1.71559,395.87975,1988.2527397260274
1988,4,7,352.9,1.70237,395.45925,1988.2664383561644
1988,4,8,353.22,1.71234,396.0285,1988.2691780821917
1988,4,9,353.08,1.7052100000000001,395.71025,1988.271917808219
1988,4,10,353.72,1.7159000000000002,396.61750000000006,1988.2746575342467
1988,4,11,354.03,1.73933,397.51324999999997,1988.277397260274
1988,4,12,353.37,1.72149,396.40725,1988.2801369863014
1988,4,13,353.3,1.70364,395.891,1988.2828767123287
1988,4,14,353.0,1.6978199999999999,395.4455,1988.285616438356
1988,4,15,352.63,1.70133,395.16325,1988.2883561643835
1988,4,16,352.62,1.6967100000000002,395.03775,1988.291095890411
1988,4,17,353.18,1.69476,395.549,1988.2938356164384
1988,4,20,353.64,1.71116,396.419,1988.3020547945205
1988,4,21,353.75,1.7091800000000001,396.47950000000003,1988.304794520548
1988,4,22,353.68,1.7074,396.365,1988.3075342465754
1988,4,23,353.5,1.70051,396.01275,1988.3102739726028
1988,4,24,353.68,1.70702,396.3555,1988.3130136986301
1988,4,25,354.12,1.71462,396.9855,1988.3157534246575
1988,4,28,354.3,1.72066,397.3165,1988.3239726027398
1988,5,4,353.29,1.69521,395.67025,1988.3415525114156
1988,5,5,353.26,1.6867100000000002,395.42775,1988.344292237443
1988,5,6,353.04,1.6820599999999999,395.0915,1988.3470319634703
1988,5,8,353.42,1.6851300000000002,395.54825000000005,1988.352511415525
1988,5,9,353.88,1.7037,396.47249999999997,1988.3552511415523
1988,5,10,353.92,1.709,396.64500000000004,1988.35799086758
1988,5,11,354.0,1.7001600000000001,396.504,1988.3607305936073
1988,5,13,354.08,1.7036,396.66999999999996,1988.366210045662
1988,5,14,353.98,1.70254,396.5435,1988.3689497716894
1988,5,15,352.99,1.69924,395.471,1988.3716894977167
1988,5,18,353.97,1.6908800000000002,396.242,1988.379908675799
1988,5,19,353.95,1.68904,396.176,1988.3826484018264
1988,5,20,353.64,1.68394,395.7385,1988.3853881278537
1988,5,21,354.48,1.7009400000000001,397.00350000000003,1988.3881278538813
1988,5,22,354.33,1.6927100000000002,396.64775,1988.3908675799087
1988,5,23,354.49,1.69406,396.8415,1988.393607305936
1988,5,24,354.5,1.70404,397.101,1988.3963470319634
1988,5,25,354.32,1.7245899999999998,397.43475,1988.3990867579907
1988,5,26,354.24,1.70449,396.85225,1988.401826484018
1988,5,28,354.02,1.72109,397.04724999999996,1988.407305936073
1988,5,30,353.43,1.6829100000000001,395.50275,1988.4127853881278
1988,5,31,353.73,1.69338,396.0645,1988.4155251141551
1988,6,3,353.71,1.68708,395.887,1988.4221461187215
1988,6,4,353.78,1.6889200000000002,396.003,1988.424885844749
1988,6,5,354.07,1.6824100000000002,396.13025,1988.4276255707764
1988,6,6,354.02,1.70618,396.67449999999997,1988.4303652968038
1988,6,7,354.14,1.71506,397.0165,1988.4331050228311
1988,6,8,354.25,1.69724,396.681,1988.4358447488585
1988,6,9,354.43,1.69859,396.89475,1988.4385844748858
1988,6,10,354.08,1.6976900000000001,396.52225,1988.4413242009134
1988,6,11,353.79,1.6872800000000001,395.97200000000004,1988.4440639269408
1988,6,13,353.69,1.68941,395.92525,1988.4495433789955
1988,6,14,353.68,1.69439,396.03975,1988.4522831050228
1988,6,15,353.9,1.6968900000000002,396.32225,1988.4550228310502
1988,6,17,353.36,1.68306,395.4365,1988.4605022831051
1988,6,18,353.37,1.68449,395.48225,1988.4632420091325
1988,6,19,353.42,1.68431,395.52775,1988.4659817351599
1988,6,20,353.12,1.69234,395.4285,1988.4687214611872
1988,6,21,353.06,1.68772,395.253,1988.4714611872148
1988,6,22,353.14,1.68752,395.328,1988.4742009132422
1988,6,23,352.91,1.69711,395.33775,1988.4769406392695
1988,6,24,352.91,1.69619,395.31475,1988.4796803652969
1988,6,25,352.95,1.69899,395.42475,1988.4824200913242
1988,6,26,352.88,1.70262,395.4455,1988.4851598173516
1988,6,27,352.91,1.6988,395.38,1988.4878995433792
1988,6,28,353.03,1.6899600000000001,395.279,1988.4906392694065
1988,6,29,352.87,1.69675,395.28875,1988.4933789954339
1988,7,3,352.81,1.68979,395.05475,1988.5054794520547
1988,7,4,352.88,1.6873900000000002,395.06475,1988.5082191780823
1988,7,5,352.86,1.69148,395.147,1988.5109589041097
1988,7,6,352.68,1.68738,394.8645,1988.513698630137
1988,7,7,352.3,1.70125,394.83125,1988.5164383561644
1988,7,8,352.3,1.69442,394.6605,1988.5191780821917
1988,7,9,352.0,1.7009500000000002,394.52375,1988.521917808219
1988,7,12,352.9,1.68537,395.03425,1988.5301369863014
1988,7,13,352.58,1.6943800000000002,394.9395,1988.5328767123287
1988,7,17,352.23,1.68156,394.269,1988.5438356164384
1988,7,23,352.06,1.67728,393.992,1988.5602739726028
1988,7,24,351.72,1.67981,393.71525,1988.5630136986301
1988,7,25,351.73,1.6812500000000001,393.76125,1988.5657534246575
1988,7,26,351.25,1.6806500000000002,393.26625,1988.5684931506848
1988,7,27,351.44,1.6818199999999999,393.4855,1988.5712328767124
1988,7,28,352.27,1.6868800000000002,394.442,1988.5739726027398
1988,7,29,352.23,1.6872800000000001,394.41200000000003,1988.5767123287671
1988,7,30,351.29,1.68703,393.46575,1988.5794520547945
1988,7,31,350.86,1.6947400000000001,393.2285,1988.5821917808219
1988,8,4,350.95,1.67995,392.94875,1988.5915525114156
1988,8,5,350.86,1.68284,392.93100000000004,1988.594292237443
1988,8,7,350.4,1.6761700000000002,392.30424999999997,1988.5997716894976
1988,8,8,350.64,1.6761400000000002,392.5435,1988.602511415525
1988,8,9,350.61,1.67587,392.50675,1988.6052511415523
1988,8,10,350.36,1.67873,392.32825,1988.60799086758
1988,8,11,350.45,1.67756,392.389,1988.6107305936073
1988,8,12,350.27,1.67928,392.25199999999995,1988.6134703196346
1988,8,14,349.17,1.6798,391.165,1988.6189497716894
1988,8,15,349.42,1.7116099999999999,392.21025000000003,1988.6216894977167
1988,8,18,350.4,1.68297,392.47425,1988.629908675799
1988,8,19,349.66,1.68799,391.85975,1988.6326484018264
1988,8,20,350.15,1.6916600000000002,392.44149999999996,1988.6353881278537
1988,8,21,350.81,1.67744,392.746,1988.6381278538813
1988,8,26,348.5,1.7159000000000002,391.39750000000004,1988.651826484018
1988,8,27,348.69,1.7126700000000001,391.50675,1988.6545662100457
1988,9,1,349.54,1.6844700000000001,391.65175,1988.6666666666667
1988,9,2,349.28,1.67547,391.16675,1988.669406392694
1988,9,4,348.36,1.67551,390.24775,1988.674885844749
1988,9,5,348.56,1.73549,391.94725,1988.6776255707764
1988,9,6,348.47,1.69066,390.73650000000004,1988.6803652968038
1988,9,7,348.53,1.69463,390.89574999999996,1988.6831050228311
1988,9,8,348.51,1.7076300000000002,391.20074999999997,1988.6858447488585
1988,9,18,349.14,1.69246,391.4515,1988.7132420091325
1988,9,19,349.19,1.6848800000000002,391.312,1988.7159817351599
1988,9,20,348.07,1.70354,390.6585,1988.7187214611872
1988,9,21,347.93,1.71346,390.7665,1988.7214611872148
1988,9,22,347.58,1.72319,390.65975,1988.7242009132422
1988,9,26,348.12,1.70964,390.861,1988.7351598173516
1988,9,27,347.98,1.70149,390.51725,1988.7378995433792
1988,9,30,348.62,1.68676,390.789,1988.7461187214612
1988,10,4,347.91,1.70554,390.54850000000005,1988.7582191780823
1988,10,5,348.79,1.68843,391.00075000000004,1988.7609589041097
1988,10,6,348.63,1.6891800000000001,390.8595,1988.763698630137
1988,10,7,348.4,1.69621,390.80525,1988.7664383561644
1988,10,11,348.84,1.7168800000000002,391.762,1988.777397260274
1988,10,12,348.43,1.69994,390.9285,1988.7801369863014
1988,10,13,348.15,1.7193399999999999,391.13349999999997,1988.7828767123287
1988,10,14,348.14,1.7166,391.055,1988.785616438356
1988,10,15,347.74,1.71386,390.5865,1988.7883561643835
1988,10,16,348.37,1.70808,391.072,1988.791095890411
1988,10,17,348.61,1.70792,391.308,1988.7938356164384
1988,10,19,349.18,1.68186,391.2265,1988.7993150684931
1988,10,21,349.1,1.68903,391.32575,1988.804794520548
1988,10,22,349.16,1.69311,391.48775,1988.8075342465754
1988,10,23,348.74,1.72073,391.75825000000003,1988.8102739726028
1988,10,29,349.37,1.7336500000000001,392.71125,1988.8267123287671
1988,10,30,349.09,1.72929,392.32225,1988.8294520547945
1988,10,31,349.06,1.7273699999999999,392.24425,1988.8321917808219
1988,11,1,349.07,1.73258,392.3845,1988.8333333333333
1988,11,2,349.73,1.73984,393.226,1988.8360730593606
1988,11,8,349.35,1.7086400000000002,392.06600000000003,1988.852511415525
1988,11,9,349.41,1.7226700000000001,392.47675000000004,1988.8552511415523
1988,11,10,349.57,1.7261300000000002,392.72325,1988.85799086758
1988,11,11,349.48,1.72746,392.66650000000004,1988.8607305936073
1988,11,12,349.68,1.72705,392.85625,1988.8634703196346
1988,11,13,349.89,1.73231,393.19775,1988.866210045662
1988,11,14,349.76,1.7246199999999998,392.8755,1988.8689497716894
1988,11,15,349.81,1.71803,392.76075000000003,1988.8716894977167
1988,11,17,349.73,1.70446,392.3415,1988.8771689497717
1988,11,18,349.68,1.7195,392.6675,1988.879908675799
1988,11,19,349.9,1.70188,392.447,1988.8826484018264
1988,11,20,350.03,1.6936099999999998,392.37024999999994,1988.8853881278537
1988,11,21,349.82,1.7124000000000001,392.63,1988.8881278538813
1988,11,22,350.46,1.72673,393.62825,1988.8908675799087
1988,11,23,350.05,1.72577,393.19425,1988.893607305936
1988,11,24,350.31,1.72403,393.41075,1988.8963470319634
1988,11,26,350.23,1.72006,393.23150000000004,1988.901826484018
1988,11,27,350.33,1.71095,393.10375,1988.9045662100457
1988,12,1,350.35,1.7269,393.52250000000004,1988.9166666666667
1988,12,2,350.02,1.71777,392.96425,1988.919406392694
1988,12,3,349.92,1.72303,392.99575000000004,1988.9221461187215
1988,12,4,350.31,1.72853,393.52325,1988.924885844749
1988,12,8,350.53,1.70326,393.1115,1988.9358447488585
1988,12,9,350.46,1.69606,392.8615,1988.9385844748858
1988,12,10,350.54,1.7073800000000001,393.22450000000003,1988.9413242009134
1988,12,11,350.59,1.7227999999999999,393.65999999999997,1988.9440639269408
1988,12,12,351.15,1.72929,394.38225,1988.9468036529681
1988,12,13,351.19,1.7289700000000001,394.41425,1988.9495433789955
1988,12,16,351.37,1.7186700000000001,394.33675,1988.9577625570778
1988,12,17,351.4,1.72932,394.633,1988.9605022831051
1988,12,18,351.96,1.72673,395.12825,1988.9632420091325
1988,12,21,351.33,1.71502,394.2055,1988.9714611872148
1988,12,22,351.08,1.7234500000000001,394.16625,1988.9742009132422
1988,12,23,351.12,1.72042,394.1305,1988.9769406392695
1988,12,24,351.11,1.71819,394.06475,1988.9796803652969
1988,12,27,351.28,1.7184400000000002,394.241,1988.9878995433792
1988,12,28,352.17,1.73133,395.45325,1988.9906392694065
1988,12,29,352.26,1.72865,395.47625,1988.9933789954339
1988,12,30,352.85,1.7459500000000001,396.49875000000003,1988.9961187214612
1988,12,31,352.64,1.74903,396.36575,1988.9988584474886
1989,1,1,351.71,1.72754,394.8985,1989.0
1989,1,3,351.84,1.72672,395.008,1989.0054794520547
1989,1,4,352.12,1.72827,395.32675,1989.0082191780823
1989,1,5,352.22,1.73452,395.583,1989.0109589041097
1989,1,6,352.09,1.72711,395.26775,1989.013698630137
1989,1,7,352.51,1.73084,395.781,1989.0164383561644
1989,1,8,352.89,1.74127,396.42175,1989.0191780821917
1989,1,9,352.7,1.7358,396.09499999999997,1989.021917808219
1989,1,10,353.02,1.74038,396.5295,1989.0246575342467
1989,1,11,352.83,1.7355,396.2175,1989.027397260274
1989,1,12,352.58,1.72651,395.74275,1989.0301369863014
1989,1,13,352.31,1.72516,395.439,1989.0328767123287
1989,1,14,352.69,1.7199300000000002,395.68825,1989.035616438356
1989,1,15,353.25,1.73266,396.5665,1989.0383561643835
1989,1,16,352.82,1.73692,396.243,1989.041095890411
1989,1,17,353.1,1.73759,396.53975,1989.0438356164384
1989,1,18,352.4,1.7286,395.61499999999995,1989.0465753424658
1989,1,19,352.52,1.72832,395.72799999999995,1989.0493150684931
1989,1,20,352.42,1.72492,395.543,1989.0520547945205
1989,1,22,352.29,1.7173900000000002,395.22475000000003,1989.0575342465754
1989,1,23,352.05,1.7128900000000002,394.87225,1989.0602739726028
1989,1,24,352.04,1.71231,394.84775,1989.0630136986301
1989,1,25,352.14,1.71159,394.92975,1989.0657534246575
1989,1,26,352.91,1.7285599999999999,396.124,1989.0684931506848
1989,1,27,352.61,1.7208299999999999,395.63075000000003,1989.0712328767124
1989,1,28,352.82,1.71113,395.59825,1989.0739726027398
1989,1,29,352.91,1.72584,396.05600000000004,1989.0767123287671
1989,1,30,353.69,1.74779,397.38475,1989.0794520547945
1989,1,31,353.09,1.72904,396.316,1989.0821917808219
1989,2,1,352.96,1.72323,396.04075,1989.0833333333333
1989,2,3,353.18,1.71579,396.07475,1989.088812785388
1989,2,7,352.71,1.7197200000000001,395.703,1989.0997716894976
1989,2,8,352.46,1.7061600000000001,395.114,1989.102511415525
1989,2,9,352.34,1.7148299999999999,395.21074999999996,1989.1052511415523
1989,2,10,352.08,1.70426,394.68649999999997,1989.10799086758
1989,2,11,352.17,1.70626,394.8265,1989.1107305936073
1989,2,12,353.57,1.72959,396.80975,1989.1134703196346
1989,2,14,353.06,1.71008,395.812,1989.1189497716894
1989,2,15,352.94,1.72787,396.13675,1989.1216894977167
1989,2,16,352.91,1.71874,395.87850000000003,1989.1244292237443
1989,2,17,352.92,1.71903,395.89575,1989.1271689497717
1989,2,18,352.93,1.71881,395.90025,1989.129908675799
1989,2,19,353.44,1.72075,396.45875,1989.1326484018264
1989,2,20,353.51,1.72879,396.72974999999997,1989.1353881278537
